date;SO2_24h_ppb;SO2_24h_ugm3
1/12/2019;68.4;179.1
2/12/2019;43.7;114.5
3/12/2019;32.7;85.7
4/12/2019;16.6;43.4
5/12/2019;62.7;164.2
6/12/2019;23.3;61
7/12/2019;55.8;146.2
8/12/2019;10.8;28.4
9/12/2019;20.1;52.7
10/12/2019;;
11/12/2019;;
12/12/2019;;
13/12/2019;;
14/12/2019;55.5;145.5
15/12/2019;48.7;127.6
16/12/2019;68.4;179.3
17/12/2019;134.4;352.1
18/12/2019;41.5;108.8
19/12/2019;56.1;147
20/12/2019;34.7;90.9
21/12/2019;37.1;97.2
22/12/2019;92;241
23/12/2019;55.3;145
24/12/2019;6.9;18
25/12/2019;6.6;17.4
26/12/2019;26.6;69.6
27/12/2019;43.4;113.6
28/12/2019;36.3;95
29/12/2019;47.3;123.9
30/12/2019;21.4;56.1
31/12/2019;38.9;101.8
1/01/2020;30.4;79.7
2/01/2020;52.4;137.4
3/01/2020;60.4;158.4
4/01/2020;55.4;145.3
5/01/2020;42;110.2
6/01/2020;40.6;106.3
7/01/2020;16.5;43.3
8/01/2020;40.1;105
9/01/2020;29.2;76.6
10/01/2020;66.7;174.8
11/01/2020;39.9;104.5
12/01/2020;61.7;161.7
13/01/2020;15.9;41.7
14/01/2020;20.8;54.6
15/01/2020;44.5;116.6
16/01/2020;48.1;126
17/01/2020;5.3;13.8
18/01/2020;4.5;11.7
19/01/2020;34;89.2
20/01/2020;43.3;113.3
21/01/2020;63.9;167.5
22/01/2020;54.2;142
23/01/2020;66.1;173.2
24/01/2020;8.6;22.6
25/01/2020;33.3;87.2
26/01/2020;103.2;270.4
27/01/2020;67.9;177.9
28/01/2020;45.9;120.3
29/01/2020;65.9;172.8
30/01/2020;34.9;91.3
31/01/2020;12.3;32.2
1/02/2020;70;183.5
2/02/2020;38;99.6
3/02/2020;4.9;13
4/02/2020;4.8;12.6
5/02/2020;4.7;12.3
6/02/2020;4.5;11.8
7/02/2020;4.5;11.7
8/02/2020;4.6;12
9/02/2020;4.5;11.9
10/02/2020;4.4;11.5
11/02/2020;4.3;11.3
12/02/2020;4.4;11.6
13/02/2020;4.3;11.4
14/02/2020;4.3;11.3
15/02/2020;4.7;12.2
16/02/2020;5.2;13.5
17/02/2020;4.7;12.2
18/02/2020;9.5;25
19/02/2020;42;110.1
20/02/2020;56.3;147.5
21/02/2020;61.6;161.5
22/02/2020;35.8;93.7
23/02/2020;21.5;56.4
24/02/2020;47.4;124.3
25/02/2020;13.8;36.1
26/02/2020;27.8;72.9
27/02/2020;59.9;157.1
28/02/2020;65.7;172.2
29/02/2020;29.4;77
1/03/2020;9.9;26
2/03/2020;52.3;137.1
3/03/2020;19.9;52
4/03/2020;30.9;80.9
5/03/2020;;
6/03/2020;31.9;83.5
7/03/2020;6.5;17
8/03/2020;36.6;95.9
9/03/2020;32.9;86.3
10/03/2020;30.2;79.1
11/03/2020;44.5;116.7
12/03/2020;13;33.9
13/03/2020;48.9;128.2
14/03/2020;68;178.1
15/03/2020;46.5;121.7
16/03/2020;36;94.4
17/03/2020;46.7;122.2
18/03/2020;37.9;99.4
19/03/2020;56.4;147.7
20/03/2020;35.8;93.8
21/03/2020;58.3;152.7
22/03/2020;62.2;163.1
23/03/2020;6;15.8
24/03/2020;4.6;12.2
25/03/2020;4.5;11.8
26/03/2020;4.5;11.7
27/03/2020;4.5;11.9
28/03/2020;4.5;11.8
29/03/2020;4.5;11.7
30/03/2020;4.5;11.7
31/03/2020;4.4;11.6
1/04/2020;4.4;11.5
2/04/2020;4.4;11.6
3/04/2020;4.3;11.3
4/04/2020;4.3;11.4
5/04/2020;4.3;11.3
6/04/2020;4.4;11.5
7/04/2020;4.4;11.5
8/04/2020;4.4;11.5
9/04/2020;4.5;11.7
10/04/2020;4.4;11.4
11/04/2020;4.4;11.5
12/04/2020;4.3;11.3
13/04/2020;4.4;11.6
14/04/2020;4.4;11.4
15/04/2020;4.4;11.6
16/04/2020;4.4;11.5
17/04/2020;4.3;11.3
18/04/2020;4.3;11.4
19/04/2020;4.4;11.5
20/04/2020;4.4;11.6
21/04/2020;4.4;11.4
22/04/2020;4.4;11.5
23/04/2020;4.5;11.7
24/04/2020;4.5;11.7
25/04/2020;4.5;11.8
26/04/2020;4.5;11.8
27/04/2020;4.5;11.7
28/04/2020;4.4;11.6
29/04/2020;;
30/04/2020;4.5;11.9
1/05/2020;4.53;11.88
2/05/2020;4.51;11.8
3/05/2020;4.53;11.87
4/05/2020;4.54;11.9
5/05/2020;4.56;11.95
6/05/2020;4.56;11.94
7/05/2020;4.58;12.01
8/05/2020;4.63;12.13
9/05/2020;4.62;12.12
10/05/2020;4.81;12.61
11/05/2020;4.61;12.07
12/05/2020;4.64;12.17
13/05/2020;4.6;12.06
14/05/2020;4.66;12.2
15/05/2020;4.68;12.26
16/05/2020;4.69;12.29
17/05/2020;4.67;12.24
18/05/2020;4.68;12.26
19/05/2020;4.73;12.39
20/05/2020;4.75;12.46
21/05/2020;4.7;12.33
22/05/2020;4.73;12.4
23/05/2020;4.71;12.34
24/05/2020;4.71;12.33
25/05/2020;4.85;12.71
26/05/2020;4.74;12.41
27/05/2020;4.68;12.25
28/05/2020;4.72;12.36
29/05/2020;4.87;12.77
30/05/2020;4.75;12.45
31/05/2020;4.75;12.45
1/06/2020;4.73;12.39
2/06/2020;4.9;12.84
3/06/2020;4.76;12.46
4/06/2020;4.79;12.54
5/06/2020;4.77;12.5
6/06/2020;4.91;12.88
7/06/2020;4.75;12.45
8/06/2020;4.79;12.56
9/06/2020;5.18;13.58
10/06/2020;5.08;13.31
11/06/2020;4.92;12.88
12/06/2020;4.84;12.68
13/06/2020;4.9;12.83
14/06/2020;4.87;12.76
15/06/2020;4.83;12.66
16/06/2020;4.95;12.97
17/06/2020;4.9;12.84
18/06/2020;4.89;12.82
19/06/2020;4.88;12.8
20/06/2020;5.09;13.34
21/06/2020;5.02;13.16
22/06/2020;5.19;13.61
23/06/2020;4.96;12.99
24/06/2020;4.98;13.04
25/06/2020;5.14;13.46
26/06/2020;4.99;13.07
27/06/2020;4.95;12.97
28/06/2020;;
29/06/2020;4.98;13.06
30/06/2020;5.12;13.41
1/07/2020;5.12;13.43
2/07/2020;5.11;13.39
3/07/2020;5.18;13.58
4/07/2020;5.35;14.02
5/07/2020;5.14;13.47
6/07/2020;5.04;13.19
7/07/2020;5;13.1
8/07/2020;4.99;13.08
9/07/2020;5.02;13.16
10/07/2020;5.05;13.24
11/07/2020;5.05;13.23
12/07/2020;5.09;13.33
13/07/2020;5.05;13.24
14/07/2020;3.41;8.93
15/07/2020;1.97;5.16
16/07/2020;1.98;5.2
17/07/2020;2.02;5.3
18/07/2020;2.17;5.68
19/07/2020;1.97;5.15
20/07/2020;1.95;5.1
21/07/2020;2.02;5.3
22/07/2020;2.1;5.51
23/07/2020;2.18;5.71
24/07/2020;2.44;6.41
25/07/2020;18.13;47.51
26/07/2020;41.37;108.39
27/07/2020;18.84;49.35
28/07/2020;9.78;25.62
29/07/2020;8.37;21.93
30/07/2020;23.75;62.23
31/07/2020;25.38;66.5
1/08/2020;19.87;52.06
2/08/2020;27.48;71.99
3/08/2020;22.13;57.98
4/08/2020;7.88;20.65
5/08/2020;10.35;27.11
6/08/2020;9.96;26.11
7/08/2020;6.64;17.4
8/08/2020;32.22;84.42
9/08/2020;57.14;149.71
10/08/2020;11.26;29.5
11/08/2020;10.68;27.99
12/08/2020;2.45;6.41
13/08/2020;8.45;22.13
14/08/2020;7.9;20.71
15/08/2020;4.92;12.89
16/08/2020;29.39;77.01
17/08/2020;25.1;65.77
18/08/2020;6.53;17.1
19/08/2020;13.92;36.48
20/08/2020;20.51;53.73
21/08/2020;28.05;73.48
